Station,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Stasiun Meteorologi Maritim Bitung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.13,83.33,100,96.67,100,100,100,96.77,56.67,45.16,96.77,100,96.77,96.67,100,66.67,48.39,87.1,100,100,100,100,96.77,89.66,38.71,100,100,100,96.77,93.55,96.67,83.87,100,100
Stasiun Meteorologi Mopah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,100,96.67,93.55,100,100,100,90,96.77,96.67,96.77,96.77,92.86,96.77,90,100,100,96.77,93.55,96.67,90.32,100,100,96.77,100,61.29,100,100,96.67,90.32,96.77,100,100,100,100
Stasiun Meteorologi Mozez Kilangin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,100,100,86.21,48.39,83.33,96.77,100,93.55,100,100,96.77,50,93.55
Stasiun Meteorologi Pangsuma - Kapuas Hulu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.33,100,100,90.32
Stasiun Meteorologi Pongtiku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.81,100,100,100,100,100,93.33,100,100,100,100,100,100,100,96.77,100,100,100,100,100,100,100,100,100,54.84,100,100,100,100,100,93.33,100,96.67,100
Stasiun Meteorologi Sultan Muhammad Kaharuddin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.26,90.32,96.67,96.77,93.33,83.87,38.71,92.86,96.77,93.33,100,100,100,100,100,100,96.67,100,100,100,51.61,100,100,100,100,100,100,100,100,100
Stasiun Meteorologi Sultan Muhammad Salahuddin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68,100,83.33,74.19,0,22.58,25.81,17.86,93.55,96.67,87.1,90,100,100,100,100,100,100,100,100,54.84,100,100,100,100,96.77,93.33,100,90,100
Stasiun Meteorologi Sultan Syarif Kasim II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.33,100,100,100,100,100,58.06,0,0,0,90,100,96.67,100,100,89.29,100,100,100,100,100,100,100,100,100,100,93.55,89.66,90.32,100,93.55,100,90.32,100,90,87.1,90,77.42
Stasiun Meteorologi Sultan Thaha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,100,100,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,96.67,0,0,0,0,0,93.55,100,100,100,100,58.06,100,96.77,100,100,96.77,100,100,100,96.77
Stasiun Meteorologi Supadio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77,96.67,100,100,100,100,100,100,100,100,58.06,100,100,100,100,100,100,100,100,100
Stasiun Meteorologi Syamsudin Noor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,100,89.66,58.06,100,100,100,100,96.77,100,100,100,100
Stasiun Meteorologi Tjilik Riwut ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.87,93.55,100,93.55,100,100,100,96.77,100,96.67,93.55,6.67,0,0,0,74.19,100,96.77,96.67,100,100,96.67,100,100,100,100,96.55,51.61,96.67,96.77,90,96.77,90.32,96.67,87.1,96.67,93.55
Stasiun Meteorologi Tunggul Wulung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,51.61,100,100,100,100,100,100,83.87,100,100
